NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Form Attendance,Attendance Miss,Event_Type,Location_Type
Sustainability Workshop,2/20/2025,Bear Room,$105.46 ,,,,Workshop,Price Center
Ai Sphere Symposium,2/20/2025,Student Services Center - Conference Room 300,$171.32 ,,,,GBM,Student Services Center
Shifa: Doctor Guest Speaker,2/20/2025,PC Forum,$797.80 ,,,,Speaker,Price Center
Fireside Chat with Shield AI Founder (OFFICIAL EVENT),2/20/2025,Qualcomm Room,$592.63 ,,,,Speaker,Warren
Mentor Mentee Bonding,2/20/2025,Skaggs School of Pharmacy HSEC Classrooms 2&3,$39.80 ,,,,Social,Wong-Avery
Brush & Bond: IEEE x SWE Painting De-Stress,2/20/2025,Henry Booker Room,$98.53 ,,,,Social,Warren
SEA Club Candidate Speeches,2/21/2025,Vaughn 100,$263.99 ,,,,Speaker,Scripps
UNICEF Club GBM #3,2/21/2025,Price Center - Marshall College Room,$103.09 ,,,,GBM,Price Center
TSU Game Night,2/21/2025,Price Center Red Shoe Room,$148.75 ,,,,Social,Price Center
VGDC Alumni Panel,2/21/2025,CSE 1202,$772.67 ,,,,Speaker,Warren
