NAME_OF_EVENT,DATE,VENUE,AWARDED,A.S. Advertisement Pass,Estimated Attendance,Form Attendance,PEEF Attendance,Attendance Miss,PEEF Miss,Status,Notes,Event_Type,Location_Type
Public Health Undergraduate Organization Study Social,12/3/2024,Warren College Room,$235.35 ,-,25,,0,100.00%,100.00%,Good Standing,,Social,Price Center
Triton NeuroTech Project Showcase,12/3/2024,Price Center Ballroom AB,$490.26 ,-,60,43,40,12.29%,18.41%,Good Standing,,Recruitment,Price Center
Fall Study JAM,12/4/2024,Envision,$300.00 ,-,30,35,20,-16.67%,33.33%,Good Standing,,Social,Pepper Canyon
Week 10 gbm,12/4/2024,Natural Science Building,$451.00 ,-,50,23,0,49.00%,100.00%,Good Standing,,GBM,Revelle
Muse Dance Company Fall Showcase,12/4/2024,Price Center Ballroom East,$240.00 ,-,250,216,253,-800.00%,-954.17%,Good Standing,,Recruitment,Price Center
The Great Gingerbread Bake Off,12/4/2024,ASML Room,$281.19 ,-,55,15,0,46.66%,100.00%,Good Standing,,Social,Pepper Canyon
Transfers in Science Game Night Social,12/4/2024,Bear Room,$200.00 ,-,20,1,15,95.00%,25.00%,Good Standing,,Social,Price Center
UTA Study Jam,12/4/2024,Price Center Red Shoe Room,$390.00 ,-,40,42,40,-7.69%,-2.56%,Good Standing,,Social,Price Center
Unwind Wk10,12/4/2024,Cross Cultural Center - Art Space,$258.60 ,-,35,28,0,-8.28%,100.00%,Good Standing,,Social,Pepper Canyon
Trivia Night,12/5/2024,Eleanor Roosevelt College Room,$264.94 ,-,60,24,0,9.41%,100.00%,Good Standing,,Competition,Price Center
Week 9 GBM,12/5/2024,NSB Auditorium,$163.18 ,-,50,14,0,14.21%,100.00%,Good Standing,,GBM,Revelle
ABSA Giveaway,12/5/2024,Bear Room,$384.00 ,,39,32,0,16.67%,100.00%,,,Social,Price Center
Wind Ensemble Reception FA24,12/5/2024,Mandeville East Room,$449.48 ,,50,33,0,26.58%,100.00%,,,Social,Mandeville Auditorium
End of Fall Quarter Dawat,12/5/2024,Student Center Huerta- Vera Cruz,$559.23 ,,56,28,0,49.93%,100.00%,,,Religion,Mandeville Auditorium
Fall Concert,12/5/2024,Price Center Theater,$450.00 ,,80,,0,100.00%,100.00%,,,Social,Price Center
SASE Study Jam,12/5/2024,Qualcomm Conference Center,$53.75 ,,50,23,23,-327.91%,-327.91%,,,Social,Warren
Giftstravaganza,12/5/2024,Warren College Room,$396.77 ,,40,23,26,42.03%,34.47%,,,Social,Price Center
Tritones at UC San Diego Fall Show,12/6/2024,Price Center Theater,$525.00 ,,99,37,0,29.52%,100.00%,,,Social,Price Center
Fall Study Jam,12/6/2024,SME 347,$195.00 ,,20,2,0,89.74%,100.00%,,,Social,Pepper Canyon
TWN Study Lodge: Winter Finals Prep Night,12/6/2024,Student Center - Dolores Huerta - Philip Vera Cruz Room,$200.00 ,,0,8,0,60.00%,100.00%,,,Social,Mandeville Auditorium
End of Fall GBM,12/6/2024,Bear Room,$351.24 ,,47,23,24,34.52%,31.67%,,,GBM,Price Center
IEEE Study Jam w/ Boba,12/6/2024,Warren College Room - Price,$246.75 ,,40,24,0,2.74%,100.00%,,,Social,Price Center
Sun God Soccer Pickup Soccer,12/7/2024,Playing Fields(MUIR FIELD),$346.42 ,,40,25,70,27.83%,-102.07%,,,Social,Muir
Daughters of Triton Fall Concert,12/8/2024,Price Center Theater,$500.00 ,,70,,0,100.00%,100.00%,,,Social,Price Center
